models,temp_coef,temp_se,precip_coef,precip_se
Pooled OLS,-0.5009220062473878,0.1780225363258653,0.059638452777217466,0.07031705793132327
Country FE,-0.4904084050658962,0.18751359887835878,0.03468942469706063,0.06338528023449351
Two-Way FE,-0.03246533009692687,0.43013939441326565,0.06354845462350386,0.05498784324021129
