country_code,country_name,region,climate_zone,year,season,temp_seasonal_mean,temp_seasonal_anomaly,precip_seasonal_total,precip_seasonal_anomaly
AUS,Australia,Oceania,Arid / Mediterranean,1960,Autumn (MAM),17.92494623655914,0.4556344086021517,45.5,-74.00666666666666
AUS,Australia,Oceania,Arid / Mediterranean,1960,Spring (SON),16.4673476702509,-0.2433381123058549,92.1,-43.42666666666667
AUS,Australia,Oceania,Arid / Mediterranean,1960,Summer (DJF),25.83437152391546,1.2735521390610363,92.4,-39.15
AUS,Australia,Oceania,Arid / Mediterranean,1960,Winter (JJA),9.212795698924731,-0.32184348864994067,84.0,-25.933333333333334
AUS,Australia,Oceania,Arid / Mediterranean,1961,Autumn (MAM),17.579713261648745,0.11040143369175759,70.6,-48.906666666666666
AUS,Australia,Oceania,Arid / Mediterranean,1961,Spring (SON),18.442652329749105,1.7319665471923524,217.7,82.17333333333333
AUS,Australia,Oceania,Arid / Mediterranean,1961,Summer (DJF),24.754454685099848,0.19363530024542422,146.7,15.150000000000006
AUS,Australia,Oceania,Arid / Mediterranean,1961,Winter (JJA),10.084587813620072,0.5499486260454004,130.8,20.866666666666667
AUS,Australia,Oceania,Arid / Mediterranean,1962,Autumn (MAM),17.66698924731183,0.1976774193548394,88.6,-30.906666666666666
AUS,Australia,Oceania,Arid / Mediterranean,1962,Spring (SON),17.543118279569892,0.8324324970131413,84.0,-51.52666666666667
AUS,Australia,Oceania,Arid / Mediterranean,1962,Summer (DJF),23.757296466973887,-0.8035229178805364,120.0,-11.550000000000004
AUS,Australia,Oceania,Arid / Mediterranean,1962,Winter (JJA),10.482114695340503,0.9474755077658313,82.9,-27.033333333333335
AUS,Australia,Oceania,Arid / Mediterranean,1963,Autumn (MAM),18.3184229390681,0.8491111111111133,139.0,19.49333333333334
AUS,Australia,Oceania,Arid / Mediterranean,1963,Spring (SON),17.09921146953405,0.38852568697729833,98.9,-36.626666666666665
AUS,Australia,Oceania,Arid / Mediterranean,1963,Summer (DJF),24.4684331797235,-0.09238620513092144,142.3,10.75000000000001
AUS,Australia,Oceania,Arid / Mediterranean,1963,Winter (JJA),9.38358422939068,-0.15105495818399048,153.2,43.26666666666665
AUS,Australia,Oceania,Arid / Mediterranean,1964,Autumn (MAM),18.090035842293908,0.6207240143369196,108.1,-11.406666666666656
AUS,Australia,Oceania,Arid / Mediterranean,1964,Spring (SON),16.36032258064516,-0.3503632019115912,209.3,73.77333333333334
AUS,Australia,Oceania,Arid / Mediterranean,1964,Summer (DJF),23.68553948832036,-0.8752798965340673,74.80000000000001,-56.74999999999999
AUS,Australia,Oceania,Arid / Mediterranean,1964,Winter (JJA),10.011146953405017,0.4765077658303465,109.1,-0.8333333333333357
AUS,Australia,Oceania,Arid / Mediterranean,1965,Autumn (MAM),17.62616487455197,0.15685304659498378,51.900000000000006,-67.60666666666665
AUS,Australia,Oceania,Arid / Mediterranean,1965,Spring (SON),18.34845878136201,1.6377729988052565,153.4,17.873333333333335
AUS,Australia,Oceania,Arid / Mediterranean,1965,Summer (DJF),25.373425499231953,0.8126061143775279,61.699999999999996,-69.85
AUS,Australia,Oceania,Arid / Mediterranean,1965,Winter (JJA),9.636666666666667,0.10202747909199535,105.60000000000001,-4.333333333333329
AUS,Australia,Oceania,Arid / Mediterranean,1966,Autumn (MAM),17.18853046594982,-0.2807813620071678,65.7,-53.80666666666666
AUS,Australia,Oceania,Arid / Mediterranean,1966,Spring (SON),16.314587813620072,-0.39609796893667887,160.1,24.57333333333333
AUS,Australia,Oceania,Arid / Mediterranean,1966,Summer (DJF),24.795890937019973,0.23507155216554665,87.2,-44.349999999999994
AUS,Australia,Oceania,Arid / Mediterranean,1966,Winter (JJA),8.893405017921147,-0.6412341696535243,95.80000000000001,-14.133333333333333
AUS,Australia,Oceania,Arid / Mediterranean,1967,Autumn (MAM),17.871756272401434,0.402444444444446,38.9,-80.60666666666665
AUS,Australia,Oceania,Arid / Mediterranean,1967,Spring (SON),17.873261648745522,1.162575866188769,56.3,-79.22666666666667
AUS,Australia,Oceania,Arid / Mediterranean,1967,Summer (DJF),25.447465437788015,0.8866460529335948,29.9,-101.65
AUS,Australia,Oceania,Arid / Mediterranean,1967,Winter (JJA),10.113548387096776,0.5789091995221032,79.39999999999999,-30.533333333333342
AUS,Australia,Oceania,Arid / Mediterranean,1968,Autumn (MAM),18.19530465949821,0.7259928315412209,142.7,23.193333333333342
AUS,Australia,Oceania,Arid / Mediterranean,1968,Spring (SON),17.182831541218636,0.47214575866188707,45.9,-89.62666666666668
AUS,Australia,Oceania,Arid / Mediterranean,1968,Summer (DJF),24.949944382647388,0.389124997792963,235.3,103.75
