country_code,country_name,region,climate_zone,year,temp_annual_mean,precip_annual_total,temp_annual_anomaly,precip_annual_anomaly,temp_yoy_diff,precip_yoy_diff,gdp_per_capita_growth,agriculture_share_gdp,gdp_growth,inflation_cpi,crop_production_index,temp_zscore,precip_zscore,shock_heatwave,shock_drought,shock_wet,shock_compound_hot_dry,temp_anomaly_squared,temp_x_precip
AUS,Australia,Oceania,Arid / Mediterranean,1960,17.359865282412557,314.0,0.29100123667684813,-182.51666666666668,,,,,,3.7288215039735,,0.19143683147867233,-1.024903486526113,0,0,0,0,0.08468171974745498,-0.5311257571413607
AUS,Australia,Oceania,Arid / Mediterranean,1961,17.71535202252944,565.8,0.6464879767937336,69.28333333333333,0.3554867401168842,251.79999999999995,0.461907273703787,,2.48085739405019,2.28758040719309,20.94,0.7212881663458495,0.6723194149860503,0,0,0,0,0.41794670413885504,0.4479084199219251
AUS,Australia,Oceania,Arid / Mediterranean,1962,17.362379672299028,375.5,0.2935156265633189,-121.01666666666668,-0.35297235023041296,-190.29999999999995,-1.14543513600115,,1.29693177230521,-0.319488641462281,24.89,0.1951845179248251,-0.6103712846079319,0,0,0,0,0.08615142303685769,-0.3552028274127098
AUS,Australia,Oceania,Arid / Mediterranean,1963,17.317412954429084,533.4,0.2485489086933749,36.88333333333334,-0.04496671786994355,157.89999999999998,4.19678819635753,,6.21437634985244,0.641025285901932,25.23,0.12816183381528107,0.4539317183657402,0,0,0,0,0.06177656001266761,0.09167312248973979
AUS,Australia,Oceania,Arid / Mediterranean,1964,17.03676121616611,501.3,-0.032102829569598125,4.78333333333336,-0.28065173826297496,-32.099999999999966,4.89875635634509,,6.97757189326991,2.86622669884314,28.45,-0.2901482784058822,0.23756613004747007,0,0,0,0,0.0010305916663746638,-0.0015355853477457854
AUS,Australia,Oceania,Arid / Mediterranean,1965,17.74617895545315,372.6,0.6773149097174409,-123.91666666666666,0.7094177392870407,-128.7,3.92086428494349,,5.97750537090864,3.40558476676981,24.16,0.7672355666739648,-0.6299183315276509,0,0,0,0,0.45875548692554513,-0.8393060589581954
AUS,Australia,Oceania,Arid / Mediterranean,1966,16.79810355862775,408.8,-0.2707604871079561,-87.71666666666667,-0.9480753968253985,36.19999999999999,0.0699690591845439,,2.3810335009272,3.2934114693033,33.47,-0.6458664083743708,-0.385917263081502,0,0,0,0,0.07331124137893766,0.2375020739415288
AUS,Australia,Oceania,Arid / Mediterranean,1967,17.826507936507937,204.5,0.7576438907722283,-292.01666666666665,1.028404377880186,-204.3,4.97344570831932,,6.30689948609215,3.47825912694824,26.08,0.8869655397987136,-1.7629730167706799,0,1,0,0,0.5740242652244801,-2.2124464350367017
AUS,Australia,Oceania,Arid / Mediterranean,1968,17.2819663824002,505.5,0.2131023366644896,8.98333333333332,-0.5445415541077381,301.0,3.25734337802564,,5.09512980987455,2.52100718278494,37.47,0.07532888285965608,0.26587564627602855,0,0,0,0,0.04541260589186547,0.019143693243693288
AUS,Australia,Oceania,Arid / Mediterranean,1969,16.62880120327701,538.6,-0.4400628424586978,42.083333333333314,-0.6531651791231887,33.10000000000002,4.83035616153123,,7.04760243224727,3.27868697620866,31.22,-0.8982107825956209,0.48898159560109844,0,0,0,0,0.19365530531282868,-0.18519311286803525
AUS,Australia,Oceania,Arid / Mediterranean,1970,16.56990463389657,415.7,-0.4989594118391392,-80.81666666666669,-0.05889656938044041,-122.90000000000003,5.08382058838998,,7.17469983682571,3.43915186655203,30.56,-0.9859958456757894,-0.33940877213458426,0,0,0,0,0.24896049466285974,0.4032423646679978
AUS,Australia,Oceania,Arid / Mediterranean,1971,16.388388376856117,606.5,-0.6804756688795893,109.9833333333333,-0.18151625704045316,190.8,0.544201826656504,,4.0009865700372,6.13810838730341,33.02,-1.2565449836305633,0.9466521079627978,0,0,0,0,0.4630471359371245,-0.7484098231560681
AUS,Australia,Oceania,Arid / Mediterranean,1972,16.995110925719935,375.6,-0.07375312001577268,-120.91666666666667,0.6067225488638179,-230.89999999999998,2.01446321197041,,3.90697856876663,6.02410407984535,29.74,-0.352227842845487,-0.6096972485072519,0,0,0,0,0.005439522712060969,0.08917981428573847
AUS,Australia,Oceania,Arid / Mediterranean,1973,16.965849334357397,767.9,-0.10301471137830953,271.3833333333333,-0.029261591362537587,392.29999999999995,1.06162772647569,,2.6185458738897,9.09090432931634,36.26,-0.3958421088478705,2.0345463744602688,0,0,1,0,0.010612030760356415,-0.279564757562169
AUS,Australia,Oceania,Arid / Mediterranean,1974,16.194675499231952,656.6999999999999,-0.8741885465037579,160.18333333333334,-0.7711738351254454,-111.20000000000005,1.50451470944581,,4.10661101328289,15.4166772694776,35.23,-1.5452731279106555,1.2850182305041427,0,0,0,0,0.7642056148383528,-1.4003043534079362
AUS,Australia,Oceania,Arid / Mediterranean,1975,17.1603321812596,451.9,0.09146813552389228,-44.61666666666667,0.9656566820276495,-204.79999999999995,0.098681908405382,,1.33870055771159,15.1624202011615,38.18,-0.10596632893546583,-0.09540770368843508,0,0,0,0,0.008366419816217125,-0.04081003313290994
AUS,Australia,Oceania,Arid / Mediterranean,1976,16.150919849215178,558.4,-0.9179441965205312,61.88333333333331,-1.0094123320444233,106.5,1.56435628568006,,2.58782205117312,13.3229029796495,37.56,-1.610490721010599,0.6224407435357324,0,0,0,0,0.8426215479257235,-0.5680544669467885
AUS,Australia,Oceania,Arid / Mediterranean,1977,17.25259088581669,404.5,0.18372684008098358,-92.01666666666665,1.1016710366015126,-153.89999999999998,2.43177916273716,,3.59237581967973,12.3098267517375,34.19,0.031544841654520976,-0.41490081541074053,0,0,0,0,0.03375555176614332,-0.16905931401451835
AUS,Australia,Oceania,Arid / Mediterranean,1978,16.634933435739885,683.1999999999999,-0.4339306099958213,186.68333333333334,-0.6176574500768055,278.69999999999993,-0.271138184658298,,0.895363440295682,8.00490439376775,47.61,-0.8890707185946328,1.4636377971843344,0,0,0,0,0.18829577429134556,-0.8100761270938657
AUS,Australia,Oceania,Arid / Mediterranean,1979,17.6660599078341,325.7,0.5971958620983934,-170.81666666666666,1.0311264720942148,-357.49999999999994,2.93317958655169,,4.05155094854514,9.12202056872265,45.93,0.6478184983600211,-0.9460412627465568,0,0,0,0,0.3566428977074433,-1.0201100651077388
AUS,Australia,Oceania,Arid / Mediterranean,1980,17.759932023235695,387.4,0.6910679774999862,-109.11666666666665,0.09387211540159512,61.69999999999999,1.78622666488002,,3.03453508064058,10.1358489396034,39.02,0.7877344503192573,-0.5301609886270153,0,0,0,0,0.4775749495259214,-0.7540703414487347
AUS,Australia,Oceania,Arid / Mediterranean,1981,17.73407258064516,448.4,0.665208534909453,-48.11666666666668,-0.025859442590533632,61.0,1.74096259685159,,3.34242019351289,9.48766136649872,48.45,0.7491910712581706,-0.11899896721223412,0,0,0,0,0.44250239491638094,-0.3200761733805985
AUS,Australia,Oceania,Arid / Mediterranean,1982,17.8713082437276,230.5,0.8024441979918905,-266.01666666666665,0.13723566308243917,-217.89999999999998,1.55263603794884,,3.32864998005238,11.3518321308515,37.85,0.9537401896070093,-1.5877236305938878,0,1,0,0,0.6439166908908484,-2.134635307358094
